question,strategy,coverage,completion_certificate,completion_reason,exit_ok,virtual_time_s,mean_clear_time_s,real_runtime_s,stations_visited,fallback_actions,distance_m,switches,measurements,clear_attempts,cleared,lost_signal,scenario_origin,seed,N,completion_ratio,stress,error_mode
4,adaptive,square,True,coverage_and_clearing,True,13828.504652,1063.731127076923,0.3090730420080945,49,36,53937.52326103183,426,489,48,13,459,synthetic,20260917,13,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,16099.878421,1073.3252280666666,0.435201209038496,49,207,65454.39210262136,327,399,219,15,363,synthetic,20260918,15,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14518.407196,1319.8551996363637,0.23310454102465883,49,112,53797.03597776011,516,571,122,11,543,synthetic,20260919,11,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,12650.784572,973.1372747692308,0.2633614590158686,49,0,50473.922857672944,366,425,13,13,392,synthetic,20260920,13,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,13459.331834,1345.9331834,0.23489916598191485,49,21,50261.6591724654,502,559,30,10,535,synthetic,20260921,10,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,13512.664197,965.1902997857143,0.26849516696529463,49,0,50458.320987490835,511,568,14,14,532,synthetic,20260922,14,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,13388.898838,1338.8898838,0.2437533749616705,49,11,48534.49419223255,552,610,20,10,584,synthetic,20260923,10,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,12946.342616,1078.8618846666666,0.24952025001402944,49,1,48666.71308067528,478,535,12,12,506,synthetic,20260924,12,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14319.446997,954.6297997999999,0.3675647089839913,49,74,59877.23498681857,286,354,86,15,320,synthetic,20260925,15,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14566.431527,971.0954351333334,0.39605466602370143,49,34,59672.15763715719,354,422,46,15,385,synthetic,20260926,15,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,13132.625071,1010.2019285384615,0.24881912500131875,49,0,52338.12535736901,385,443,13,13,409,synthetic,20260927,13,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,13557.892043,1232.5356402727273,0.3804109590128064,49,1,50814.46021718969,500,568,11,11,539,synthetic,20260928,11,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,15146.120684,1376.9200621818181,0.30181824997998774,49,128,57795.60341952562,472,537,136,11,514,synthetic,20260929,11,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14307.793274,1021.9852338571428,0.3465404160087928,49,70,57513.96636756419,371,432,82,14,394,synthetic,20260930,14,1.0,none,fixed_location
