question,strategy,coverage,completion_certificate,completion_reason,exit_ok,virtual_time_s,mean_clear_time_s,real_runtime_s,stations_visited,fallback_actions,distance_m,switches,measurements,clear_attempts,cleared,lost_signal,seed,N,scenario_origin
3,adaptive_q25,seven,True,coverage_and_clearing,True,3747.108189,374.7108189,0.2306584999896586,7,0,14930.540943198159,106,121,10,10,89,20260913,10,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,3677.234115,367.7234115,0.4028338330099359,7,0,14606.170576237178,106,120,10,10,89,20260913,10,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,3801.091292,380.1091292,0.26393266598461196,7,0,15125.456459095529,106,124,10,10,89,20260913,10,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3611.82756,361.18275600000004,0.22224195901071653,7,0,14279.137802084,106,120,10,10,89,20260913,10,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,3724.384962,372.43849620000003,0.46618083299836144,7,0,14766.92480791052,106,123,10,10,89,20260913,10,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,3617.949235,361.7949235,0.17998245800845325,7,0,14384.746173220185,106,117,10,10,89,20260913,10,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,3677.234115,367.7234115,0.4182260829838924,7,0,14606.170576237178,106,120,10,10,89,20260913,10,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5485.976313,391.85545092857143,0.22860583302099258,7,0,24294.881563141895,82,95,14,14,57,20260914,14,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4618.261901,329.87585007142854,0.29600616602692753,7,0,19806.309503448014,82,101,14,14,57,20260914,14,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4568.343485,326.31024892857147,0.6069492080132477,7,0,19531.717424207684,82,102,14,14,57,20260914,14,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4734.251539,338.1608242142857,0.31555337499594316,7,0,20336.25769390261,82,103,14,14,57,20260914,14,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4371.997161,312.28551150000004,0.27772000001277775,7,0,18624.98580413485,82,99,14,14,57,20260914,14,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4677.636046,334.1168604285714,0.6910029589780606,7,0,19978.180230668102,82,106,14,14,57,20260914,14,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4440.143256,317.1530897142857,0.255468916031532,7,0,19015.71627991537,82,97,14,14,57,20260914,14,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4568.343485,326.31024892857147,0.6029014579835348,7,0,19531.717424207684,82,102,14,14,57,20260914,14,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5490.930481,422.3792677692308,0.18475041701458395,7,0,23899.65240588594,101,109,13,13,77,20260915,13,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4389.683439,337.66795684615386,0.23745245800819248,7,0,18268.41719475311,101,114,13,13,77,20260915,13,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4306.333571,331.25642853846153,0.47621749999234453,7,0,17826.667854878917,101,115,13,13,77,20260915,13,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4639.552597,356.8886613076923,0.35877891699783504,7,0,19317.762985727564,101,122,13,13,77,20260915,13,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4287.773306,329.82871584615384,0.24534504197072238,7,0,17733.8665321166,101,115,13,13,77,20260915,13,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4560.655839,350.81967992307693,0.6529661669628695,7,0,18923.279196722262,101,122,13,13,77,20260915,13,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4271.484027,328.5756943846154,0.2227040000143461,7,0,17727.420136068547,101,112,13,13,77,20260915,13,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4306.333571,331.25642853846153,0.47621754196006805,7,0,17826.667854878917,101,115,13,13,77,20260915,13,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5180.765669,370.05469064285717,0.20819641696289182,7,0,22998.828346299557,76,87,14,14,51,20260916,14,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4186.501793,299.0358423571429,0.2527099580038339,7,0,17927.508964162793,76,91,14,14,51,20260916,14,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4180.099325,298.5785232142857,0.491668708040379,7,0,17895.496623475796,76,91,14,14,51,20260916,14,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4288.730221,306.3378729285714,0.32918637502007186,7,0,18263.651107449554,76,98,14,14,51,20260916,14,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4014.046273,286.71759092857144,0.2625866670277901,7,0,17040.231367421242,76,92,14,14,51,20260916,14,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4344.818885,310.3442060714286,0.7148524170042947,7,0,18444.094426902397,76,102,14,14,51,20260916,14,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4068.947205,290.63908607142855,0.22916879202239215,7,0,17389.7360248083,76,89,14,14,51,20260916,14,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4180.099325,298.5785232142857,0.4973831250099465,7,0,17895.496623475796,76,91,14,14,51,20260916,14,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5356.552645,412.04251115384614,0.1558341669733636,7,0,23397.763227334195,97,103,13,13,74,20260917,13,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4532.236343,348.63356484615383,0.18759254197357222,7,0,19226.181717184965,97,105,13,13,74,20260917,13,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4438.991316,341.46087046153843,0.33519341598730534,7,0,18759.95657968743,97,105,13,13,74,20260917,13,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4692.408432,360.9544947692308,0.3265273750294,7,0,19702.04216196306,97,118,13,13,74,20260917,13,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4451.797979,342.4459983846154,0.24141524999868125,7,0,18698.989894630966,97,110,13,13,74,20260917,13,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4625.40886,355.8006815384615,0.5750836249790154,7,0,19417.044298370576,97,116,13,13,74,20260917,13,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4486.950861,345.15006623076926,0.1723459999775514,7,0,18974.754304553862,97,106,13,13,74,20260917,13,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4438.991316,341.46087046153843,0.30745641700923443,7,0,18759.95657968743,97,105,13,13,74,20260917,13,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,6157.7147,410.51431333333335,0.2181099159643054,7,0,27478.57350105405,87,100,15,15,60,20260918,15,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,5342.791794,356.1861196,0.2471344160148874,7,0,23328.958972066866,87,103,15,15,60,20260918,15,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,5149.740139,343.3160092666667,0.44691841601161286,7,0,22438.70069691977,87,100,15,15,60,20260918,15,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,5192.786517,346.18576779999995,0.41930470801889896,7,0,22328.9325833686,87,113,15,15,60,20260918,15,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4900.577565,326.70517099999995,0.40085887495661154,7,0,21042.88782578128,87,106,15,15,60,20260918,15,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,5203.871653,346.92477686666666,0.8847026250441559,7,0,22284.358265040028,87,117,15,15,60,20260918,15,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4933.182037,328.8788024666666,0.2694465419626795,7,0,21280.910186001413,87,103,15,15,60,20260918,15,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,5149.740139,343.3160092666667,0.4421697909710929,7,0,22438.70069691977,87,100,15,15,60,20260918,15,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,4395.45509,399.5868263636364,0.11913162498967722,7,0,18537.2754508881,103,106,11,11,82,20260919,11,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,3805.325269,345.9386608181818,0.1632343750097789,7,0,15511.626345028428,103,109,11,11,82,20260919,11,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,3755.005085,341.3640986363636,0.29798750003101304,7,0,15260.025425846845,103,109,11,11,82,20260919,11,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,3734.020943,339.45644936363635,0.2398264170042239,7,0,14980.104715867894,103,116,11,11,82,20260919,11,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3660.631495,332.78468136363637,0.2840661670197733,7,0,14688.157475701564,103,113,11,11,82,20260919,11,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,3715.907253,337.8097502727273,0.45709354197606444,7,0,14914.536267292793,103,115,11,11,82,20260919,11,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,3706.024003,336.911273,0.17480562499258667,7,0,14990.120017239986,103,110,11,11,82,20260919,11,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,3755.005085,341.3640986363636,0.3096959589747712,7,0,15260.025425846845,103,109,11,11,82,20260919,11,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5107.214865,392.86268192307693,0.17587824998190627,7,0,22621.07432508328,78,88,13,13,57,20260920,13,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4193.697507,322.5921159230769,0.19594924995908514,7,0,18003.48753494749,78,90,13,13,57,20260920,13,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4089.239113,314.55685484615384,0.402945332985837,7,0,17431.195566544764,78,92,13,13,57,20260920,13,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4408.88563,339.14504846153847,0.32296891702571884,7,0,18779.428149225743,78,102,13,13,57,20260920,13,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3976.012522,305.8471170769231,0.22528904199134558,7,0,16840.06260914663,78,93,13,13,57,20260920,13,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4347.076133,334.3904717692307,0.6573980000102893,7,0,18445.38066479079,78,103,13,13,57,20260920,13,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4001.550474,307.81157492307693,0.21379324997542426,7,0,16992.75237085112,78,92,13,13,57,20260920,13,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4089.239113,314.55685484615384,0.40226162498584017,7,0,17431.195566544764,78,92,13,13,57,20260920,13,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,4569.201572,456.9201572,0.13460504100658,7,0,19116.007861205413,111,117,10,10,93,20260921,10,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,3911.733215,391.17332150000004,0.134612166963052,7,0,15828.666073337954,111,117,10,10,93,20260921,10,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,3852.710771,385.2710771,0.24902987497625872,7,0,15533.553853651703,111,117,10,10,93,20260921,10,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,3982.922083,398.29220829999997,0.2279976669815369,7,0,15984.610416614245,111,125,10,10,93,20260921,10,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3852.146457,385.2146457,0.18328054202720523,7,0,15430.732286304494,111,121,10,10,93,20260921,10,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,3969.358274,396.9358274,0.4645435829879716,7,0,15891.791371601055,111,126,10,10,93,20260921,10,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,3877.673584,387.76735840000003,0.17567458300618455,7,0,15583.367918614675,111,120,10,10,93,20260921,10,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,3852.710771,385.2710771,0.310206875030417,7,0,15533.553853651703,111,117,10,10,93,20260921,10,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5078.72449,362.766035,0.20546425000065938,7,0,21783.622451530962,102,110,14,14,76,20260922,14,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4138.107153,295.57908235714285,0.2314623750280589,7,0,17005.535766065834,102,113,14,14,76,20260922,14,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4149.141392,296.3672422857143,0.4541932500433177,7,0,17060.706959345123,102,113,14,14,76,20260922,14,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4224.090106,301.72072185714285,0.33190633403137326,7,0,17260.450532433704,102,120,14,14,76,20260922,14,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4016.080051,286.8628607857143,0.33587624999927357,7,0,16195.400256768953,102,121,14,14,76,20260922,14,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4282.742983,305.9102130714286,0.6747210830217227,7,0,17453.71491264673,102,124,14,14,76,20260922,14,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4006.660598,286.1900427142857,0.2575666670454666,7,0,16298.302987912743,102,115,14,14,76,20260922,14,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4149.141392,296.3672422857143,0.4229384580394253,7,0,17060.706959345123,102,113,14,14,76,20260922,14,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,4958.917291,495.89172909999996,0.1714000829961151,7,0,20984.58645343874,112,120,10,10,93,20260923,10,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4328.627695,432.8627695,0.1831913750502281,7,0,17808.138475161395,112,121,10,10,93,20260923,10,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4211.40003,421.140003,0.30691012501483783,7,0,17247.000148114366,112,120,10,10,93,20260923,10,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4399.843804,439.9843804,0.2560283339698799,7,0,17964.219022098754,112,129,10,10,93,20260923,10,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4082.236108,408.2236108,0.1928467499674298,7,0,16526.180540732796,112,123,10,10,93,20260923,10,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4396.907753,439.69077530000004,0.5386263749678619,7,0,17899.538766494203,112,131,10,10,93,20260923,10,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4205.043689,420.50436890000003,0.19160479097627103,7,0,17140.218442570396,112,123,10,10,93,20260923,10,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4211.40003,421.140003,0.2978785840095952,7,0,17247.000148114366,112,120,10,10,93,20260923,10,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5172.21421,431.01785083333334,0.1541538330493495,7,0,22421.071048756276,98,106,12,12,77,20260924,12,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4372.42634,364.36886166666665,0.19375012494856492,7,0,18347.13169896445,98,109,12,12,77,20260924,12,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4337.26067,361.43838916666664,0.3811777500086464,7,0,18146.303347812063,98,110,12,12,77,20260924,12,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4163.685249,346.97377075,0.2735252910060808,7,0,17128.426247000916,98,116,12,12,77,20260924,12,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4016.355336,334.696278,0.24924733297666535,7,0,16441.776678104678,98,114,12,12,77,20260924,12,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4097.959112,341.49659266666663,0.5001515410258435,7,0,16824.7955583106,98,115,12,12,77,20260924,12,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4176.459589,348.03829908333336,0.19852529099443927,7,0,17342.297945594244,98,110,12,12,77,20260924,12,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4337.26067,361.43838916666664,0.36857120896456763,7,0,18146.303347812063,98,110,12,12,77,20260924,12,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5912.513361,394.1675574,0.2065427500056103,7,0,26397.566806993844,83,95,15,15,58,20260925,15,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4980.311014,332.02073426666664,0.23337437497684732,7,0,21661.555070102677,83,98,15,15,58,20260925,15,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4888.639116,325.9092744,0.4655444170348346,7,0,21178.195578391584,83,99,15,15,58,20260925,15,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,5145.63585,343.04238999999995,0.36555237497668713,7,0,22213.179250410274,83,109,15,15,58,20260925,15,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4729.423098,315.29487320000004,0.2763411670457572,7,0,20332.115491265162,83,101,15,15,58,20260925,15,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,5179.982894,345.3321929333333,0.6990697500295937,7,0,22359.914468431063,83,110,15,15,58,20260925,15,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4843.285386,322.8856924,0.265496542036999,7,0,20901.426931396676,83,101,15,15,58,20260925,15,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4888.639116,325.9092744,0.48566329199820757,7,0,21178.195578391584,83,99,15,15,58,20260925,15,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5898.620151,393.2413434,0.22428420901997015,7,0,26013.10075748304,96,105,15,15,67,20260926,15,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4856.626961,323.77513073333336,0.29985379200661555,7,0,20703.134802519333,96,109,15,15,67,20260926,15,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4662.194842,310.81298946666664,0.49455958395265043,7,0,19805.974208893378,96,106,15,15,67,20260926,15,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,5011.536896,334.1024597333333,0.39145929203368723,7,0,21152.68447767471,96,122,15,15,67,20260926,15,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4516.946588,301.1297725333333,0.2979572499752976,7,0,18929.73293780655,96,112,15,15,67,20260926,15,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,5014.00423,334.2669486666666,0.7898156669689342,7,0,21140.021148777334,96,123,15,15,67,20260926,15,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4617.415994,307.8277329333333,0.22935037495335564,7,0,19582.079968431433,96,106,15,15,67,20260926,15,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4662.194842,310.81298946666664,0.5262303330237046,7,0,19805.974208893378,96,106,15,15,67,20260926,15,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5290.551169,406.96547453846154,0.20704304100945592,7,0,23102.75584686349,90,103,13,13,68,20260927,13,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4471.593331,343.96871776923075,0.24206941697048023,7,0,18932.966654760825,90,106,13,13,68,20260927,13,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4385.115943,337.31661099999997,0.49008579197106883,7,0,18525.57971455012,90,105,13,13,68,20260927,13,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4651.449316,357.80379353846155,0.37505045800935477,7,0,19632.246581948013,90,114,13,13,68,20260927,13,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4171.776173,320.90585946153845,0.2900172080262564,7,0,17408.88086543791,90,107,13,13,68,20260927,13,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4557.422728,350.57097907692304,0.650637959013693,7,0,19137.113640913885,90,115,13,13,68,20260927,13,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4224.897251,324.9920962307693,0.21668512496398762,7,0,17749.48625406542,90,104,13,13,68,20260927,13,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4385.115943,337.31661099999997,0.4248502500122413,7,0,18525.57971455012,90,105,13,13,68,20260927,13,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,4880.238391,443.65803554545454,0.17440266703488305,7,0,20631.191954606216,109,118,11,11,89,20260928,11,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,3857.849516,350.7135923636364,0.18421149998903275,7,0,15494.247577616103,109,119,11,11,89,20260928,11,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,3798.423001,345.3111819090909,0.3445924579864368,7,0,15197.115006666998,109,119,11,11,89,20260928,11,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,3856.59473,350.59952090909087,0.23339258402120322,7,0,15362.973651802373,109,124,11,11,89,20260928,11,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3599.184829,327.1986208181818,0.18265945900930092,7,0,14200.924145749164,109,119,11,11,89,20260928,11,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,3898.988438,354.45349436363637,0.4492270420305431,7,0,15574.942187978251,109,124,11,11,89,20260928,11,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,3647.750762,331.61370563636365,0.17304104199865833,7,0,14468.753810765245,109,118,11,11,89,20260928,11,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,3798.423001,345.3111819090909,0.34421979199396446,7,0,15197.115006666998,109,119,11,11,89,20260928,11,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,4651.532883,422.8666257272727,0.1226562499650754,7,0,19947.664416153435,97,102,11,11,77,20260929,11,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4027.68992,366.1536290909091,0.14726004103431478,7,0,16778.449598850104,97,104,11,11,77,20260929,11,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4040.18702,367.2897290909091,0.31974395900033414,7,0,16790.93509866137,97,106,11,11,77,20260929,11,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4088.061001,371.64190918181816,0.24328604200854897,7,0,16855.30500307701,97,113,11,11,77,20260929,11,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3831.80172,348.3456109090909,0.22727137501351535,7,0,15699.008600927686,97,108,11,11,77,20260929,11,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4057.886986,368.8988169090909,0.502835999999661,7,0,16729.43493216565,97,112,11,11,77,20260929,11,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,3881.171328,352.8337570909091,0.1829788750037551,7,0,16020.856638025089,97,105,11,11,77,20260929,11,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4040.18702,367.2897290909091,0.33856100001139566,7,0,16790.93509866137,97,106,11,11,77,20260929,11,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5723.693523,408.83525164285714,0.22244654200039804,7,0,25408.467614818015,87,97,14,14,60,20260930,14,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4668.887646,333.49197471428573,0.2822486669756472,7,0,19984.438230659758,87,103,14,14,60,20260930,14,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,4625.455611,330.38968650000004,0.5798928340082057,7,0,19742.27805514793,87,104,14,14,60,20260930,14,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,4638.751304,331.3393788571429,0.3889504999970086,7,0,19683.756518865925,87,109,14,14,60,20260930,14,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,4298.857465,307.0612475,0.3374168330337852,7,0,18134.287325574987,87,103,14,14,60,20260930,14,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,4635.863099,331.1330785,0.7646926250308752,7,0,19669.31549598568,87,109,14,14,60,20260930,14,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,4396.930787,314.0664847857143,0.277166958025191,7,0,18674.653936637445,87,101,14,14,60,20260930,14,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,4625.455611,330.38968650000004,0.5798158330144361,7,0,19742.27805514793,87,104,14,14,60,20260930,14,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,5530.992021,460.91600175,0.21151200000895187,7,0,24179.960102967434,95,108,12,12,75,20260931,12,synthetic
